Date, Profit/Losses ,,,,,,,
10-Jan," $1,088,983.00 "," $(1,443,517.00)"," $(8,311.11)",  ," $1,862,002.00 ",7/16/2024," $22,564,198.00 ",86.00
12-Nov," $(235,220.00)"," $582,358.00 ",," $582,358.00 ",,,,
12-Dec," $347,138.00 "," $(48,628.00)",,  ,,,,
13-Jan," $298,510.00 "," $(135,256.00)",,  ,,,,
13-Feb," $163,254.00 "," $978,586.00 ",," $978,586.00 ",,,,
13-Mar," $1,141,840.00 "," $(599,210.00)",,  ,,,,
13-Apr," $542,630.00 "," $(442,789.00)",,  ,,,,
13-May," $99,841.00 "," $652,924.00 ",," $652,924.00 ",,,,
13-Jun," $752,765.00 "," $(1,005,714.00)",,  ,,,,
13-Jul," $(252,949.00)"," $1,167,373.00 ",," $1,167,373.00 ",,,,
13-Aug," $914,424.00 "," $(234,900.00)",,  ,,,,
13-Sep," $679,524.00 "," $(165,147.00)",,  ,,,,
13-Oct," $514,377.00 "," $(52,275.00)",,  ,,,,
13-Nov," $462,102.00 "," $(302,320.00)",,  ,,,,
13-Dec," $159,782.00 "," $719,028.00 ",," $719,028.00 ",,,,
14-Jan," $878,810.00 "," $(1,825,558.00)",,  ,,,,
14-Feb," $(946,748.00)"," $1,287,083.00 ",," $1,287,083.00 ",,,,
14-Mar," $340,335.00 "," $(48,303.00)",,  ,,,,
14-Apr," $292,032.00 "," $210,234.00 ",," $210,234.00 ",,,,
14-May," $502,266.00 "," $(236,414.00)",,  ,,,,
14-Jun," $265,852.00 "," $585,165.00 ",," $585,165.00 ",,,,
14-Jul," $851,017.00 "," $(1,400,632.00)",,  ,,,,
14-Aug," $(549,615.00)"," $839,777.00 ",," $839,777.00 ",,,,
14-Sep," $290,162.00 "," $465,229.00 ",," $465,229.00 ",,,,
14-Oct," $755,391.00 "," $317,811.00 ",," $317,811.00 ",,,,
14-Nov," $1,073,202.00 "," $(760,202.00)",,  ,,,,
14-Dec," $313,000.00 "," $(71,868.00)",,  ,,,,
15-Jan," $241,132.00 "," $795,457.00 ",," $795,457.00 ",,,,
15-Feb," $1,036,589.00 "," $(182,685.00)",,  ,,,,
15-Mar," $853,904.00 "," $(1,242,836.00)",,  ,,,,
15-Apr," $(388,932.00)"," $1,371,884.00 ",," $1,371,884.00 ",,,,
15-May," $982,952.00 "," $(445,193.00)",,  ,,,,
15-Jun," $537,759.00 "," $10,025.00 ",," $10,025.00 ",,,,
15-Jul," $547,784.00 "," $(1,043,998.00)",,  ,,,,
15-Aug," $(496,214.00)"," $1,350,395.00 ",," $1,350,395.00 ",,,,
15-Sep," $854,181.00 "," $80,538.00 ",," $80,538.00 ",,,,
15-Oct," $934,719.00 "," $(1,223,250.00)",,  ,,,,
15-Nov," $(288,531.00)"," $104,148.00 ",," $104,148.00 ",,,,
15-Dec," $(184,383.00)"," $843,924.00 ",," $843,924.00 ",,,,
16-Jan," $659,541.00 "," $(1,808,664.00)",,  ,,,,
16-Feb," $(1,149,123.00)"," $1,505,005.00 ",," $1,505,005.00 ",,,,
16-Mar," $355,882.00 "," $306,402.00 ",," $306,402.00 ",,,,
16-Apr," $662,284.00 "," $(143,603.00)",,  ,,,,
16-May," $518,681.00 "," $(1,266,937.00)",,  ,,,,
16-Jun," $(748,256.00)"," $(162,519.00)",,  ,,,,
16-Jul," $(910,775.00)"," $1,862,002.00 ",," $1,862,002.00 ",,,,
16-Aug," $951,227.00 "," $(52,986.00)",,  ,,,,
16-Sep," $898,241.00 "," $(1,627,245.00)",,  ,,,,
16-Oct," $(729,004.00)"," $616,795.00 ",," $616,795.00 ",,,,
16-Nov," $(112,209.00)"," $628,522.00 ",," $628,522.00 ",,,,
16-Dec," $516,313.00 "," $90,895.00 ",," $90,895.00 ",,,,
17-Jan," $607,208.00 "," $(224,669.00)",,  ,,,,
17-Feb," $382,539.00 "," $(382,539.00)",,  ,,,,
